unique_id,MetaARIMA,AutoARIMA,SeasonalNaive,TimesFM
T000000,0.37948780669666643,0.3840461719135771,0.9122596153846154,0.5495580127096583
T000001,0.33621818521383073,0.29815310311617566,0.30330882352941174,0.21532030292585783
T000002,0.6720509106012736,0.6720509106012736,1.0001136492783271,0.5831552975953707
T000003,1.2261922253271604,1.2762335268530218,1.6260162601626016,1.5580152888931234
T000004,0.5260829788650598,0.5377524472549289,0.7216519174041298,0.5652253111172567
T000005,0.8188091505049515,1.246719245193883,1.4385964912280702,0.8772102507652596
T000006,0.9364383125323177,0.8850514225581467,1.448995983935743,0.8217412632300034
T000007,0.8212706408441718,0.8181020160420555,1.189189189189189,0.86780737524634
T000008,0.910976298019466,0.8657156806823291,1.1268783483601204,0.8389018020021765
T000009,0.5630623834978202,0.6657201176002299,0.7203753618847958,0.7320094340597546
T000010,0.4795149905113107,0.5136302905098387,0.6903959561920809,0.5102330538571066
T000011,0.7097397397521332,0.5938134009024634,0.6156834947887954,0.6428298255175517
T000012,0.6174206397098709,0.5625589301537126,0.7004397537379067,0.5643872280741534
T000013,0.7186178311182068,0.6460240512525348,0.7658468998960859,0.7352315538946138
T000014,0.6639630386696213,0.6531543470129341,0.9075436319053801,0.7650821876718457
T000015,0.4826402950686526,0.4433480974674543,1.0119180633147113,0.41639034221514204
T000016,1.0093181348227196,1.1993991560848527,1.2402291794556988,1.1526652667672204
T000017,0.7533760116936999,0.7532572547869787,1.03125,0.7223505655924479
T000018,0.6143985509473986,0.6143985509473986,0.815609951845907,0.5863073113259305
T000019,0.5378020265003897,0.5378020265003897,0.7160950896336711,0.561139524940021
T000020,0.6305263615531992,0.6317148294697157,0.4210875331564986,0.5788453767407161
T000021,0.3917475378650247,0.3917475378650247,0.48063380281690143,0.38556481159908673
T000022,0.8822566122220257,0.8835629195293845,0.9197030006123698,0.8867318503198197
T000023,0.5882961612056404,0.5882961612056404,0.6992911668484187,0.5370320161010343
T000024,0.6674601369602596,0.6322366613316064,0.8244257274119449,0.6842189818027374
T000025,0.4896164903488245,0.45935640446342074,0.7043973941368078,0.505140591599654
T000026,0.6428720806072272,0.6573179287807215,0.8168165100122599,0.7106879779549097
T000027,0.38546702672862093,0.3510248720866024,0.571304347826087,0.4400203379755434
T000028,0.4824496216027644,0.4976687393818113,0.5543870192307692,0.27849531907301683
T000029,0.5943533131709282,0.6028762076880632,0.8601364522417153,0.6190271924113669
T000030,0.3772788656313302,0.3772788656313302,0.600101282916948,0.38148538304856305
T000031,0.4641553909968214,0.4641553909968214,0.7096922370234269,0.4354340735081966
T000032,0.44584711115352943,0.38615217866840523,0.5314316860465116,0.3703901934069257
T000033,0.5873192355444603,0.5873192355444603,0.6490086741016109,0.5887878871761734
T000034,0.5463900694524473,0.5413205837506322,0.5893729641693811,0.5120787033428975
T000035,0.7322575377203823,0.7322575377203823,0.5868814729574223,0.7011691849580156
T000036,0.5989522469242397,0.6433735825734068,0.536410923276983,0.5543578069758819
T000037,0.4208924246475945,0.4555431169652827,0.9991349480968859,0.4623061209813946
T000038,0.3816735909265529,0.3987935648910038,0.7822434150772025,0.4399018525860723
T000039,0.5474876145977634,0.5113602564869485,0.6679894179894179,0.6828945260830027
T000040,0.6338001812957246,0.7458373159705143,0.5376418488790479,0.6501679894272852
T000041,0.3490262986425357,0.3677936210106168,0.5316335167160389,0.43101272227851906
T000042,0.8228380370048033,0.8184733574221172,0.9232233502538072,0.7837180200567101
T000043,0.7137535476141781,0.6035845005438308,0.5977985829959513,0.5986643123240606
T000044,0.8091414425367415,0.808502987744522,0.8471467391304348,0.8441828852114469
T000045,0.7926569346933537,0.7719767122996755,0.9024039063478152,0.6537103200415519
T000046,0.5336942954540724,0.5377306805459215,0.514525993883792,0.5342107743662796
T000047,0.7978795348168743,0.8062677828840056,0.8609650125771781,0.7910251717749542
T000048,0.7000456811102336,0.47878887428291556,0.8896443514644352,0.37539281485968556
T000049,0.5283330199324086,0.5424138926081402,0.608079821378733,0.5560620515798345
T000050,0.41465306253755185,0.41298436437797414,0.7138001359619306,0.4209006884566462
T000051,0.4182986942861295,0.5948075934910424,0.8622740247383445,0.41017483349191247
T000052,0.511264971323208,0.4996322968511055,0.7290859798605732,0.5253159266677963
T000053,0.6066533011583228,0.6090769027720611,0.8498864926220204,0.6894117305552107
T000054,0.4001168224299066,0.4001168224299066,0.6410630841121495,0.3958878026944455
T000055,0.8804560882270565,0.8164068060424801,1.3958990536277605,0.8736728299980284
