unique_id,MetaARIMA,AutoARIMA,SeasonalNaive,Chronos2
T000000,1.3723743323867443,1.2862850241398611,1.6491688222251204,1.3714409036904176
T000001,0.9438420009022721,0.9014218548483013,1.2494466121818375,0.8869821978881951
T000002,0.7343340122310561,1.561805116740018,0.25672111670210135,0.20577896332888665
T000003,0.8485007498737798,1.35720912576359,0.9965877399854156,0.5728976284885673
T000004,0.6878538252542875,0.6463929237448396,0.8340772167272102,0.7400488210852615
T000005,1.4491243332130457,1.8024668704672164,1.0835374743782158,0.6487795409351683
T000006,0.19980987149338467,0.46365661318921947,0.33569241986725074,0.2064278797571134
T000007,0.5565212443098897,0.21970702539835027,0.39854448278105087,0.19151683774190575
T000008,0.4511054607406817,0.8543427791915497,1.1842062512184026,0.5810237514925434
T000009,1.2839158953390255,1.1022093595485922,1.1847727956665661,0.7573190391189248
T000010,1.0683806244077165,0.9692996718538617,0.6754123290772629,0.5807102664707365
T000011,0.5622861319741057,0.5793612280819916,0.5646796460110318,0.4839167966884873
T000012,0.4188061793141271,0.3352086901906601,0.35355880054734284,0.3412925153598277
T000013,1.3175431733487029,1.2350077986026287,1.6259103322554223,1.2646652641653147
T000014,0.309693763090608,0.22506095442042848,0.5993749196934733,0.17623464900586933
T000015,1.858139648765143,0.9008984381178022,0.9806154432708969,0.7845985968897249
T000016,1.414129027813073,1.370919450452191,1.8850836714880268,0.9555741091149647
T000017,0.5611642553581822,0.35839902490855924,0.6475916848316164,0.524538603241143
T000018,0.8814795747832935,0.8409931474288914,1.1803668767023603,0.9321923246823961
T000019,1.0416547120934503,1.0492321601794068,1.0667330025940251,0.8720206096412506
T000020,0.6196948301215467,0.7717038477177638,0.9965662357159398,0.5149672228436285
T000021,0.8131856537042286,0.7594050601464825,0.7578788476009602,0.8218665770740763
T000022,1.0940684516733976,1.0074330634255912,0.9008029452394446,1.0162575522574395
T000023,0.7636475462638659,0.748772257295224,0.6914321093489547,0.8400879255072153
T000024,0.674510571030559,0.6688704123736576,1.0628719369894983,0.5393741051263264
T000025,0.6657239569664836,0.6543224640920813,0.563599221629466,0.8701898354353005
T000026,0.9371315882523525,1.292211228467678,1.2147810080940014,0.8228386989318313
T000027,2.418043573036846,2.9322277957814045,3.026296139554774,2.513069638991012
T000028,1.2000851915656905,1.197060790518361,3.3100216627479986,1.3764685587791918
T000029,0.36372971561326845,0.3979621893831124,0.46460898954974555,0.45357239219706474
T000030,0.7020775711673257,0.6493961569956033,0.8900268246166251,0.7316091694604938
T000031,1.4551496518597318,1.3688537816157627,1.445817701438071,1.2065785252240349
