ncomps,avg,med,std,avg_expl_var
MetaARIMA(3),0.06405571450965955,0.0381488942299567,0.07571904570619539,0.0984245982704772
MetaARIMA(10),0.0638564525854347,0.037944289440178955,0.07415356649940848,0.04584192269883523
MetaARIMA(25),0.06365703248278581,0.0373434093892848,0.07389497175304416,0.023311796464697783
MetaARIMA(50),0.06391634950451874,0.03813400032687495,0.07417087382663631,0.013464495883472179
MetaARIMA(100),0.06383006313649003,0.03813993888039145,0.07425249611369367,0.007877743235331839
MetaARIMA(150),0.06397937391220475,0.0382199145587612,0.07403756557823386,0.005755819352182172
MetaARIMA(200),0.06404623754243255,0.0380116448359984,0.07442544147254648,0.004578975208629303
MetaARIMA(250),0.0643357820816868,0.0380204758896564,0.07570211693147735,0.003808569038247694
MetaARIMA(300),0.06409436060296529,0.03774527408751725,0.07417759148097962,0.003255489208333111
MetaARIMA(350),0.06413891495741711,0.03813993888039145,0.0748183637886403,0.002835197194593668
