unique_id,Meta-Regr,MetaARIMA,No-PCA,Reg-Chain,No-SH,MonteCarlo,MO-Regr,AutoARIMA
T000000,10.610251609135778,10.610251609135778,10.610251609135778,10.610251609135778,8.377877721046707,10.228843325320286,10.610251609135778,12.015659852959597
T000001,7.152730262178308,7.152730262178308,7.152730262178308,7.152730262178308,7.152730262178308,9.696925121500016,7.152730262178308,9.696925121500016
T000002,6.175834019165421,6.175834019165421,6.175834019165421,6.175834019165421,6.175834019165421,6.175834019165421,6.175834019165421,12.022032833747813
T000003,4.599063012747232,3.079806562421113,3.079806562421113,3.079806562421113,3.079806562421113,4.599063012747232,3.079806562421113,4.599063012747232
T000004,13.185352333233626,13.185352333233626,13.185352333233626,12.854423779772537,13.185352333233626,13.185352333233626,13.185352333233626,13.185352333233626
T000005,4.564612516546597,4.418409535093311,4.564612516546597,4.418409535093311,4.418409535093311,6.026020403890279,4.418409535093311,7.770785534797333
T000009,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368
T000010,2.1712483189318847,2.1712483189318847,2.1712483189318847,2.1712483189318847,2.1712483189318847,2.1712483189318847,2.1712483189318847,3.318300941614672
T000011,3.7509955872934455,3.7509955872934455,3.7509955872934455,3.7509955872934455,3.7509955872934455,5.461337056504806,3.7509955872934455,3.9053322203757506
T000012,9.07116125574879,9.07116125574879,9.07116125574879,9.07116125574879,9.07116125574879,10.699624700955374,9.07116125574879,8.498331556562544
T000013,3.254984184846923,3.254984184846923,3.254984184846923,3.254984184846923,3.254984184846923,3.254984184846923,3.254984184846923,3.254984184846923
T000015,0.9929616535612296,0.9929616535612296,0.9929616535612296,0.9929616535612296,0.9929616535612296,0.9929616535612296,0.9929616535612296,0.9929616535612296
T000016,2.5468312595898075,2.5468312595898075,2.5468312595898075,2.5468312595898075,2.5468312595898075,2.5468312595898075,2.5468312595898075,2.5468312595898075
T000017,5.655894083309858,5.655894083309858,5.655894083309858,5.655894083309858,5.655894083309858,4.965618613737977,5.655894083309858,5.062364858300571
T000018,8.233364512214312,8.146127773869665,8.146127773869665,8.233364512214312,8.146127773869665,8.146127773869665,8.233364512214312,8.146127773869665
T000019,1.1999823637846077,1.1999823637846077,1.1999823637846077,1.1999823637846077,1.1999823637846077,1.1999823637846077,1.1999823637846077,1.1999823637846077
T000024,0.31556437190719827,0.31556437190719827,0.31556437190719827,0.31556437190719827,0.31556437190719827,0.31556437190719827,0.31556437190719827,0.9871062762915145
T000027,1.2186447638603695,1.2186447638603695,1.2186447638603695,1.2186447638603695,1.2186447638603695,1.2186447638603695,1.2186447638603695,1.2195983233471697
T000028,1.5773809523809523,1.5773809523809523,1.5773809523809523,1.5773809523809523,1.5773809523809523,1.5773809523809523,1.5773809523809523,1.5773809523809523
T000029,1.3624161073825505,1.3624161073825505,1.3624161073825505,1.3624161073825505,1.3624161073825505,1.393625226837936,1.3624161073825505,1.3624161073825505
T000030,2.8258692570422093,2.8258692570422093,2.8258692570422093,2.8258692570422093,2.8258692570422093,2.7472707423580798,2.8258692570422093,2.7472707423580798
T000032,3.103809769630864,3.103809769630864,3.103809769630864,3.103809769630864,3.103809769630864,3.103809769630864,3.103809769630864,3.103809769630864
T000033,6.413547390149897,6.076048037798577,6.076048037798577,6.413547390149897,5.743565459365028,5.761482254697286,6.076048037798577,6.783943510665257
T000034,1.0517540674778891,1.0517540674778891,1.0517540674778891,1.0517540674778891,1.0517540674778891,1.0517540674778891,1.0517540674778891,0.9218126685081937
T000036,1.4453568524358782,1.4453568524358782,1.4453568524358782,1.4453568524358782,1.4453568524358782,1.4453568524358782,1.4453568524358782,2.190538735034234
T000037,0.8924197838124355,0.8924197838124355,1.8272166595412365,1.8272166595412365,0.8924197838124355,2.0600883433566564,1.8272166595412365,2.30419559746387
T000038,5.3650969157899855,5.3650969157899855,3.9185753900950453,5.3650969157899855,5.3650969157899855,5.3650969157899855,5.3650969157899855,5.3650969157899855
T000039,3.054106734258114,3.054106734258114,3.054106734258114,3.054106734258114,3.054106734258114,3.054106734258114,3.054106734258114,3.054106734258114
T000040,6.150674087407972,6.127087872185913,6.127087872185913,6.150674087407972,6.127087872185913,6.127087872185913,6.127087872185913,6.127087872185913
T000041,8.304199921554105,6.8831762189275985,6.8831762189275985,6.8831762189275985,6.8831762189275985,7.702629001083845,6.8831762189275985,6.438832927947852
