unique_id,Meta-Regr,MetaARIMA,No-PCA,Reg-Chain,No-SH,MonteCarlo,MO-Regr,AutoARIMA
T000000,0.3794878045963163,0.3794878045963163,0.3676093310556581,0.3939643847430974,0.3794878045963163,0.46968883498697256,0.3794878045963163,0.38404616628726357
T000001,0.2972640487527352,0.33621818939248366,0.29076923833787055,0.29076923833787055,0.33621818939248366,0.32464930709447687,0.30164080646238245,0.29811318008960686
T000002,0.5981759457306374,0.6720509511253949,0.573918631585558,0.6723888270152627,0.6720509511253949,0.5715699369827822,0.6720509511253949,0.6720509511253949
T000003,1.067164010779532,1.226192199295583,1.067164010779532,1.2309394477662614,1.226192199295583,1.2663677404958014,1.226192199295583,1.2762335285195028
T000004,0.48660963581438904,0.5260829793554291,0.48660963581438904,0.5260829793554291,0.5260829793554291,0.5390653352227859,0.5260829793554291,0.5377524462308548
T000005,0.8188091430733696,0.8188091430733696,0.919287677840776,0.9078100797953338,0.8188091430733696,0.8296318068554162,0.8188091430733696,1.2467192060773973
T000006,0.9597398232554594,0.9364382463441171,0.9265098165284731,0.9364382463441171,0.9364382463441171,0.9774061184728933,0.8850514225581467,0.8850514225581467
T000007,0.8212706408441718,0.8212706408441718,0.8076463385398206,0.7922686217766973,0.8212706408441718,0.8212706408441718,0.8212706408441718,0.8180977075068411
T000008,1.1021611162394194,0.9109762685389864,1.1021611162394194,0.9109762685389864,0.9109762685389864,0.8367147653546736,0.8997621925959406,0.8657155068055828
T000009,0.5612036428822503,0.5630623870898972,0.5581021773414051,0.5616299042860476,0.5630623870898972,0.5630623870898972,0.5605838808529506,0.4938746820115962
T000010,0.47951499192845803,0.47951499192845803,0.4747630583009186,0.5012109106869358,0.47951499192845803,0.47951499192845803,0.5012109106869358,0.5136302799499802
T000011,0.6995937045120108,0.7097397515362858,0.888838103501302,0.7437501535340663,0.7097397515362858,0.7437501535340663,0.7097397515362858,0.4063628422842682
T000012,0.6174206515405444,0.6174206515405444,0.6795126390798021,0.6328431678692797,0.6174206515405444,0.6748167191051073,0.6174206515405444,0.5625586012848133
T000013,0.718617831430558,0.718617831430558,0.728948737725141,0.7337454840375227,0.718617831430558,0.723452629782167,0.718617831430558,0.6460207072881596
T000014,0.6558470251844793,0.6639630099180448,0.7930111456232651,0.6558470251844793,0.6639630099180448,0.9838752472695389,0.6639630099180448,0.6531541076255891
T000015,0.4826402993601887,0.4826402993601887,0.5249748317591896,0.5170409690313307,0.4826402993601887,0.4826402993601887,0.4826402993601887,0.44334721099926877
T000016,1.0427922112295556,1.0093181353404022,1.1512179450490208,1.0093181353404022,1.0093181353404022,1.0503980580867955,1.0093181353404022,1.1993990710168858
T000017,1.01457970111744,0.7533760109232842,0.7222617574346482,0.737946163842212,0.7533760109232842,1.08267322993924,0.7532572524784908,0.7532572524784908
T000018,0.6143985509473986,0.6143985509473986,1.3878437705211613,0.6304737422604304,0.6143985509473986,0.6143985509473986,0.6143985509473986,0.6143985509473986
T000019,0.5378020265003897,0.5378020265003897,0.8656320587616045,0.6048517676348796,0.5378020265003897,0.5484711658495199,0.5378020265003897,0.5378020265003897
T000020,0.6317148292218598,0.6305263615883037,0.42601278859402336,0.6305263615883037,0.6305263615883037,0.6308453253167887,0.6305263615883037,0.6317148292218598
T000021,0.39174753765207593,0.39174753765207593,0.5772256362385254,0.3891086097778863,0.39174753765207593,0.39174753765207593,0.39174753765207593,0.39174753765207593
T000022,0.8835629195293845,0.8822566031046725,0.9992981965582489,0.862397908380291,0.8822566031046725,0.862397908380291,0.8822566031046725,0.8835629195293845
T000023,0.5883513658959257,0.5883513658959257,0.3850721283082502,0.5883513658959257,0.5883513658959257,0.6716856891655298,0.5883513658959257,0.5883513658959257
T000024,0.6322366596281527,0.6674601384272755,0.9852682117932139,0.6674601384272755,0.6674601384272755,0.6433057224399106,0.6674601384272755,0.6322366596281527
T000025,0.48961647922142165,0.48961647922142165,0.4681727969948243,0.48961647922142165,0.48961647922142165,0.9265958256645036,0.459356404424026,0.459356404424026
T000026,0.6428720802259771,0.6428720802259771,0.6396176595023365,0.6428720802259771,0.6428720802259771,0.6428720802259771,0.6428720802259771,0.6573179298786799
T000027,0.35102487246499775,0.3854670267507258,0.6751198334007632,0.3854670267507258,0.3854670267507258,0.39216657208979216,0.35102487246499775,0.35102487246499775
T000028,0.48244962576051786,0.48244962576051786,0.5183610861407651,0.6304452850215785,0.48244962576051786,0.44815150163708156,0.48244962576051786,0.49766874357612656
T000029,0.6618548138792845,0.5943533194864371,0.5945109980336417,0.5945109980336417,0.5943533194864371,0.5943533194864371,0.6028762076880632,0.6028762076880632
T000030,0.3772788656313302,0.3772788656313302,0.4909093451376734,0.3780346972684664,0.3772788656313302,0.3772788656313302,0.3772788656313302,0.3772788656313302
T000031,0.4641553909968214,0.4641553909968214,0.7128558782397841,0.4598600676648886,0.4641553909968214,0.4641553909968214,0.4641553909968214,0.4641553909968214
T000032,0.4458471131769993,0.4458471131769993,0.5902934634057391,0.4458471131769993,0.4458471131769993,0.3861521791616667,0.39941823993575054,0.3861521791616667
T000033,0.5873192363973241,0.5873192363973241,0.626048260722077,0.5726605367107492,0.5873192363973241,0.5776107942031703,0.5873192363973241,0.5873192363973241
T000034,0.5463900707321098,0.5463900707321098,0.47205270927137455,0.5413205812394146,0.5463900707321098,0.5474360174318588,0.5413205812394146,0.5413205812394146
T000035,0.7322575397971286,0.7322575397971286,0.6113433047040062,0.750097589096514,0.7322575397971286,0.7322575397971286,0.7322575397971286,0.7322575397971286
T000036,0.6433735825734068,0.5989522469242397,1.2807034254211436,0.5901780589941185,0.5989522469242397,0.69044910745744,0.6433735825734068,0.6433735825734068
T000037,0.7826051495998514,0.4208924235666839,0.7501361974155795,0.37375942799581,0.4208924235666839,0.4208924235666839,0.4208924235666839,0.4555431172896957
T000038,0.4793961521980974,0.3816735902917759,0.47884931864483027,0.49795652357548814,0.5377169082851074,0.39791602143692567,0.44113950585691336,0.39879778958401624
T000039,0.7632625926492661,0.547487623643196,0.5404698150299326,0.5404698150299326,0.547487623643196,0.5126963748295118,0.5113602554243556,0.5113602554243556
T000040,0.5525566317698561,0.6338001834550315,0.5463761501202216,0.6338001834550315,0.6338001834550315,0.6346770515420564,0.6338001834550315,0.7458373734191387
T000041,0.374259368271892,0.3490262901089715,0.4674067282156407,0.374259368271892,0.3490262901089715,0.3490262901089715,0.3490262901089715,0.36779364432420086
T000042,0.8061389611598323,0.822838036004609,1.159847294139833,0.8070786981614273,0.822838036004609,0.822838036004609,0.822838036004609,0.8184733614153382
T000043,0.6049293495537351,0.7137535590217113,0.6059988541221212,0.7137535590217113,0.7137535590217113,0.6035844984121739,0.7137535590217113,0.6035844984121739
T000044,0.8085029880244448,0.8091414426185881,0.9618152477645635,0.8091414426185881,0.8091414426185881,0.8091414426185881,0.8085029880244448,0.8085029880244448
T000045,0.7874210921283771,0.792656930303286,0.6831556456560468,0.792656930303286,0.792656930303286,0.6366472637143259,0.792656930303286,0.771976801316678
T000046,0.537730681332147,0.5336942889865769,0.5155350684264157,0.5336942889865769,0.5336942889865769,0.5233621533806992,0.5336942889865769,0.537730681332147
T000047,0.7978795344545793,0.7978795344545793,0.8271730335536915,0.7817458102372747,0.7978795344545793,0.8127999105070753,0.7929928785912841,0.8062677943140314
T000048,0.7000456833037519,0.7000456833037519,0.5358851838608655,0.7000456833037519,0.7000456833037519,0.5046772730334439,0.7000456833037519,0.47878887318938135
T000049,0.5424138904139987,0.5283330191253083,0.862276479240686,0.5228199498742369,0.5283330191253083,0.5401461198288752,0.5228199498742369,0.5424138904139987
T000050,0.41298436437797414,0.41465306152910864,0.7191055031055582,0.41465306152910864,0.41465306152910864,0.41465306152910864,0.41298436437797414,0.41298436437797414
T000051,0.6777858744120274,0.4182986948119325,0.6356998348048133,0.6051347349008137,0.4182986948119325,0.6908733798381275,0.4146207167508295,0.5948078629072396
T000052,0.5112649709600713,0.5112649709600713,0.49127616868293106,0.5130496192131186,0.5112649709600713,0.5112649709600713,0.4922496430336668,0.4996268452311326
T000053,0.6066533023181322,0.6066533023181322,0.8526007982497033,0.5872929726175607,0.6066533023181322,0.6066533023181322,0.6066533023181322,0.6090769029876619
T000054,0.4001168224299066,0.4001168224299066,0.41860498440838356,0.3995093416723573,0.4001168224299066,0.4001168224299066,0.4001168224299066,0.4001168224299066
T000055,1.2742770471724054,0.8804560875775593,1.226523799717971,0.8221099217518915,0.8804560875775593,0.8804560875775593,0.8284736468726572,0.816406800645302
T000056,0.6593768533232527,0.5974300024083304,0.5609978759873355,0.5974300024083304,0.5974300024083304,0.6258475342310273,0.5974300024083304,0.5974300024083304
T000057,0.6658593776954211,0.620117828970302,0.6092261753296752,0.6023514981711175,0.620117828970302,0.620117828970302,0.620117828970302,0.6784286036235796
T000058,0.5032394726232751,0.4944643868679423,0.5340439056635439,0.5032394726232751,0.4944643868679423,0.5219815209089221,0.47250958690117545,0.4970709657958981
T000059,0.7076815726062076,0.6451558825185387,0.8937008201865958,0.6451558825185387,0.6451558825185387,0.675415139443709,0.6451558825185387,0.7076815726062076
T000060,0.8875976576991081,0.7180680207302198,0.8474950895383895,0.8174017793704556,0.7180680207302198,0.8875976576991081,0.7180680207302198,0.9440333755856714
T000061,0.6712831386072494,0.660612778946852,0.7190805358983536,0.660612778946852,0.660612778946852,0.6784925588693339,0.6712831386072494,0.6712831386072494
T000062,0.5077663957910766,0.4784757085845242,0.5090963590766466,0.47366194183871557,0.4784757085845242,0.4784757085845242,0.46374541657637147,0.3724653500287107
T000063,0.5787908769913972,0.5746986847403147,0.47395832678763816,0.5746986847403147,0.6022382287863474,0.577146715945395,0.5746986847403147,0.6173808416950886
T000064,0.5761560235295059,0.5805455129387068,0.5763038811722412,0.5761560235295059,0.5805455129387068,0.5853877146273356,0.5761560235295059,0.5807158231468779
T000065,0.8151577268883891,0.7791595703180421,0.7591128162918012,0.7591128162918012,0.7791595703180421,0.8376977262784975,0.7591128162918012,0.5596035911265581
T000066,0.659387536592474,0.5034815177040494,0.68145974204184,0.5034815177040494,0.5034815177040494,0.4986405910817057,0.5034815177040494,0.5044240633221962
T000067,0.39965711173113855,0.38657447189969013,0.5452052038891172,0.3847005035049331,0.38657447189969013,0.39884812124879854,0.38657447189969013,0.39965711173113855
T000068,0.9082396747233188,0.9082396747233188,0.9257178326330834,0.837552094667588,0.9082396747233188,0.9082396747233188,0.9082396747233188,0.8741068776988469
T000069,0.7745621638201843,0.780944771082464,0.7809077439903717,0.8008899381046412,0.8939358383112983,0.780944771082464,0.7898918065343474,0.801431035722929
T000070,0.677760060918561,0.6696805338703046,0.6267931583176981,0.653429190329309,0.6696805338703046,0.6696805338703046,0.653429190329309,0.6707191476325892
