MetaARIMA,No-PCA,No-MMR,No-Binarization,No-SH,Monte Carlo,Regr. Chain,Multi-output Regr.
0.0090157490284468,0.0085600088793095,0.0049539886617694,0.0089513964779089,0.0090157490284468,0.0088838662609764,0.0090157490284468,0.0090157490284468
0.0091259302528067,0.0028291946943472,0.0053559287398641,0.0034961233202748,0.0091259302528067,0.0092372000085312,0.0089038447981759,0.0091259302528067
0.0473499668659828,0.0466354830099044,0.0322319185157938,0.0377314512039135,0.0473499668659828,0.0460030259223721,0.0473499668659828,0.0473499668659828
0.0072026228548182,0.007208548334609,0.0369399400584642,0.0105880470692198,0.0071809757349491,0.0072026228548182,0.0072026228548182,0.0072026228548182
0.0170155359761801,0.0185582514073177,0.0243549059908808,0.0200117516153118,0.0170155359761801,0.0185582514073177,0.0178497497145506,0.0178497497145506
0.0378860569014188,0.0387372573847748,0.0326673387217537,0.0343496779316951,0.0378860569014188,0.0343496779316951,0.0378860569014188,0.0378860569014188
0.0088351371125095,0.017213524989955,0.0263367471698593,0.006312430059793,0.0088351371125095,0.0088351371125095,0.0088351371125095,0.0087969652367736
0.0260208272938542,0.0260208272938542,0.0234008133368885,0.0217143531033122,0.0260208272938542,0.0260208272938542,0.0260208272938542,0.0260208272938542
0.0151620933534728,0.0223837701705105,0.0174177148804487,0.0262191147252401,0.0151620933534728,0.0166784173801213,0.0151620933534728,0.0151620933534728
0.0684370735915136,0.0820542120962185,0.0556072807203348,0.0956424707412462,0.0684370735915136,0.0539924516303565,0.0713872041614283,0.0713323826687093
0.0485368209465403,0.0360494304621722,0.0526962015796126,0.0485368209465403,0.0485368209465403,0.0360494304621722,0.0485368209465403,0.0485368209465403
0.032736217416549,0.0191957919934336,0.0440049418618361,0.0322878259195238,0.032736217416549,0.0191640675326887,0.032736217416549,0.029277036055575
0.0548407279317707,0.0548407279317707,0.0814592569227908,0.0529301460179637,0.0625800892252889,0.0600558562012335,0.0554080787477372,0.0548407279317707
