unique_id,MetaARIMA(0.0),MetaARIMA(0.1),MetaARIMA(0.2),MetaARIMA(0.3),MetaARIMA(0.4),MetaARIMA(0.5),MetaARIMA(0.6),MetaARIMA(0.7),MetaARIMA(0.8),MetaARIMA(0.9),MetaARIMA(1.0),AutoARIMA
T000000,10.242308357566339,10.242308357566339,10.610251609135778,10.610251609135778,10.610251609135778,10.610251609135778,10.610251609135778,10.610251609135778,10.610251609135778,10.610251609135778,10.610251609135778,12.015659852959597
T000001,9.921133061357438,9.921133061357438,7.152730262178308,7.152730262178308,7.152730262178308,7.152730262178308,7.152730262178308,7.152730262178308,7.152730262178308,7.152730262178308,7.152730262178308,9.696925121500016
T000002,6.393233535354512,6.393233535354512,6.175834019165421,6.175834019165421,6.175834019165421,6.175834019165421,6.175834019165421,6.175834019165421,6.175834019165421,6.175834019165421,6.175834019165421,12.022032833747813
T000003,3.079806562421113,3.079806562421113,3.079806562421113,3.079806562421113,3.079806562421113,3.079806562421113,3.079806562421113,3.079806562421113,3.079806562421113,3.079806562421113,3.079806562421113,4.599063012747232
T000004,12.38548170289515,13.185352333233626,13.185352333233626,13.185352333233626,13.185352333233626,13.185352333233626,13.185352333233626,13.185352333233626,13.185352333233626,13.185352333233626,13.185352333233626,13.185352333233626
T000005,5.4532332223670625,4.564612516546597,5.4532332223670625,5.4532332223670625,4.418409535093311,4.418409535093311,4.418409535093311,4.418409535093311,4.418409535093311,4.418409535093311,4.418409535093311,7.770785534797333
T000006,13.583636876956941,13.583636876956941,13.583636876956941,13.583636876956941,13.583636876956941,13.583636876956941,6.336940978076886,6.336940978076886,6.336940978076886,6.336940978076886,6.336940978076886,9.53332218206943
T000007,8.101692270349785,7.5195301209436165,7.5195301209436165,7.075606334403466,7.075606334403466,7.075606334403466,7.075606334403466,7.075606334403466,7.075606334403466,7.075606334403466,7.075606334403466,7.075606334403466
T000008,9.84357865302107,9.84357865302107,9.84357865302107,9.84357865302107,9.84357865302107,9.84357865302107,9.84357865302107,9.84357865302107,6.016198425955546,6.016198425955546,6.016198425955546,6.624665773809633
T000009,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368,0.6978334505059368
T000010,2.0659752070206108,2.3373746862560973,2.1712483189318847,2.1712483189318847,2.1712483189318847,2.1712483189318847,2.1712483189318847,2.1712483189318847,2.1712483189318847,2.1712483189318847,2.1712483189318847,3.318300941614672
T000011,3.9410935301526546,4.876530796221034,3.7509955872934455,3.7509955872934455,3.7509955872934455,3.7509955872934455,3.7509955872934455,3.7509955872934455,3.7509955872934455,3.7509955872934455,3.7509955872934455,3.9053322203757506
T000012,9.07116125574879,9.07116125574879,9.07116125574879,9.07116125574879,9.07116125574879,9.07116125574879,9.07116125574879,9.07116125574879,9.07116125574879,9.07116125574879,9.07116125574879,8.498331556562544
T000013,1.6878030450365813,1.6878030450365813,3.254984184846923,3.254984184846923,3.254984184846923,3.254984184846923,3.254984184846923,3.254984184846923,3.254984184846923,3.254984184846923,3.254984184846923,3.254984184846923
T000014,6.838664771964939,6.838664771964939,6.838664771964939,8.376918659475205,8.376918659475205,8.376918659475205,8.376918659475205,8.376918659475205,8.376918659475205,8.376918659475205,8.376918659475205,8.376918659475205
T000015,0.8982158755424429,0.8982158755424429,0.9929616535612296,0.9929616535612296,0.9929616535612296,0.9929616535612296,0.9929616535612296,0.9929616535612296,0.9929616535612296,0.9929616535612296,0.9929616535612296,0.9929616535612296
T000016,2.5406275729426246,2.5406275729426246,2.5468312595898075,2.5468312595898075,2.5468312595898075,2.5468312595898075,2.5468312595898075,2.5468312595898075,2.5468312595898075,2.5468312595898075,2.5468312595898075,2.5468312595898075
T000017,5.655894083309858,5.655894083309858,5.655894083309858,5.655894083309858,5.655894083309858,5.655894083309858,5.655894083309858,5.655894083309858,5.655894083309858,5.655894083309858,5.655894083309858,5.062364858300571
T000018,8.056255578253516,8.446679631168491,6.9711966434590265,8.35617821759825,8.233364512214312,8.233364512214312,8.146127773869665,8.146127773869665,8.146127773869665,8.146127773869665,8.146127773869665,8.146127773869665
T000019,1.1269440375184643,1.1269440375184643,1.1269440375184643,1.1999823637846077,1.1999823637846077,1.1999823637846077,1.1999823637846077,1.1999823637846077,1.1999823637846077,1.1999823637846077,1.1999823637846077,1.1999823637846077
T000020,3.64894723254976,3.64894723254976,2.57843125895338,2.57843125895338,2.57843125895338,3.3226570183560433,3.3226570183560433,3.3226570183560433,3.3226570183560433,3.3226570183560433,3.3226570183560433,3.3226570183560433
T000021,0.35532859235040987,0.35532859235040987,1.4367894602884161,0.4012505708751716,1.4367894602884161,1.4367894602884161,1.4367894602884161,1.4367894602884161,1.4367894602884161,1.4367894602884161,1.4367894602884161,1.4367894602884161
T000022,5.215627297297288,5.215627297297288,4.004361426646505,4.004361426646505,4.004361426646505,4.004361426646505,4.606773247459496,4.606773247459496,4.606773247459496,4.606773247459496,4.606773247459496,2.4176504131690457
T000023,1.0024755046512133,1.0024755046512133,0.8839255499153974,0.8839255499153974,0.8839255499153974,1.1012545765468196,1.1012545765468196,1.1012545765468196,1.1012545765468196,1.1012545765468196,1.1012545765468196,0.5253966111987077
T000024,0.30331695658839497,0.30331695658839497,1.5539071345992383,0.34981636920336845,0.31556437190719827,0.31556437190719827,0.31556437190719827,0.31556437190719827,0.31556437190719827,0.31556437190719827,0.31556437190719827,0.9871062762915145
T000025,1.089691645455495,1.089691645455495,1.089691645455495,1.089691645455495,1.089691645455495,1.089691645455495,1.089691645455495,1.089691645455495,1.089691645455495,1.089691645455495,1.089691645455495,1.102902747315106
T000026,1.1934336937134937,1.1934336937134937,0.8469852185675191,0.8469852185675191,1.2372644578834087,1.2372644578834087,1.2372644578834087,1.2372644578834087,1.2372644578834087,1.2372644578834087,1.2372644578834087,1.2731558018373532
T000027,1.2142917175241872,1.2142917175241872,1.2142917175241872,1.186806413507425,1.186806413507425,1.2383055022878642,1.2383055022878642,1.2186447638603695,1.2186447638603695,1.2186447638603695,1.2186447638603695,1.2195983233471697
T000028,1.742563842928227,1.742563842928227,1.5773809523809523,1.5773809523809523,1.5773809523809523,1.5773809523809523,1.5773809523809523,1.5773809523809523,1.5773809523809523,1.5773809523809523,1.5773809523809523,1.5773809523809523
T000029,1.451540532211883,1.451540532211883,1.3624161073825505,1.3624161073825505,1.3624161073825505,1.3624161073825505,1.3624161073825505,1.3624161073825505,1.3624161073825505,1.3624161073825505,1.3624161073825505,1.3624161073825505
T000030,2.7454877521089283,2.818482435953251,2.818482435953251,2.7472707423580798,2.8258692570422093,2.8258692570422093,2.8258692570422093,2.8258692570422093,2.8258692570422093,2.8258692570422093,2.8258692570422093,2.7472707423580798
T000031,1.3331982754245282,1.3331982754245282,1.3331982754245282,1.9319444444444445,1.9319444444444445,1.9319444444444445,1.9319444444444445,1.9319444444444445,1.9319444444444445,1.9319444444444445,1.9319444444444445,1.9319444444444445
T000032,2.898281415681822,2.898281415681822,2.6625475849561413,2.6625475849561413,3.103809769630864,3.103809769630864,3.103809769630864,3.103809769630864,3.103809769630864,3.103809769630864,3.103809769630864,3.103809769630864
T000033,6.400906298434553,6.400906298434553,6.551174274997156,6.237758588062802,6.237758588062802,6.237758588062802,6.076048037798577,6.076048037798577,6.076048037798577,6.076048037798577,6.076048037798577,6.783943510665257
T000034,0.9218126685081937,0.9218126685081937,0.9218126685081937,1.0517540674778891,1.0517540674778891,1.0517540674778891,1.0517540674778891,1.0517540674778891,1.0517540674778891,1.0517540674778891,1.0517540674778891,0.9218126685081937
T000035,6.6690975210108965,6.640083273486578,6.640083273486578,6.435558193294817,6.752950916869015,6.752950916869015,6.752950916869015,6.752950916869015,6.752950916869015,6.752950916869015,6.752950916869015,4.3233680576261255
T000036,1.315676785267448,1.315676785267448,1.315676785267448,1.315676785267448,1.4453568524358782,1.4453568524358782,1.4453568524358782,1.4453568524358782,1.4453568524358782,1.4453568524358782,1.4453568524358782,2.190538735034234
T000037,2.258525624536878,1.8272166595412365,1.8272166595412365,1.8272166595412365,1.8272166595412365,0.8924197838124355,0.8924197838124355,0.8924197838124355,0.8924197838124355,0.8924197838124355,0.8924197838124355,2.30419559746387
T000038,2.7120555138096627,2.7120555138096627,3.9185753900950453,3.9185753900950453,3.9185753900950453,5.3650969157899855,5.3650969157899855,5.3650969157899855,5.3650969157899855,5.3650969157899855,5.3650969157899855,5.3650969157899855
T000039,3.253545892916601,3.253545892916601,3.253545892916601,3.253545892916601,3.054106734258114,3.054106734258114,3.054106734258114,3.054106734258114,3.054106734258114,3.054106734258114,3.054106734258114,3.054106734258114
T000040,6.101676686909913,6.101676686909913,6.101676686909913,6.127087872185913,6.150674087407972,6.150674087407972,6.127087872185913,6.127087872185913,6.127087872185913,6.127087872185913,6.127087872185913,6.127087872185913
T000041,6.510988574553883,6.510988574553883,8.304199921554105,8.304199921554105,8.304199921554105,6.8831762189275985,6.8831762189275985,6.8831762189275985,6.8831762189275985,6.8831762189275985,6.8831762189275985,6.438832927947852
T000042,2.1099512109980973,3.8929267085826407,3.8850763662651437,3.8850763662651437,3.8850763662651437,3.8850763662651437,3.8850763662651437,3.8850763662651437,3.8850763662651437,3.8850763662651437,3.8850763662651437,2.3073194260262566
T000043,1.6034518902966477,1.6034518902966477,1.6034518902966477,1.6034518902966477,1.6034518902966477,1.6034518902966477,1.6034518902966477,1.6034518902966477,1.6034518902966477,1.6034518902966477,1.6034518902966477,1.478657211936696
T000044,3.4463938558620133,3.5087245177957143,3.4463938558620133,3.4463938558620133,3.4463938558620133,3.4463938558620133,3.4463938558620133,3.4463938558620133,3.4463938558620133,3.4463938558620133,3.4463938558620133,3.4463938558620133
T000045,8.779281475917376,8.779281475917376,10.707035256045033,10.707035256045033,10.258843746109875,10.707035256045033,10.707035256045033,10.707035256045033,10.707035256045033,10.707035256045033,10.707035256045033,10.707035256045033
T000046,53.268502899964815,53.268502899964815,53.268502899964815,53.268502899964815,53.268502899964815,53.268502899964815,53.268502899964815,53.268502899964815,53.268502899964815,53.268502899964815,53.268502899964815,53.268502899964815
T000047,3.0199599447481753,3.0199599447481753,3.0199599447481753,3.0996055743817195,3.0199599447481753,2.8725006895618828,2.8725006895618828,2.8725006895618828,2.8725006895618828,2.8725006895618828,2.8725006895618828,3.001042483831041
T000048,0.7925482777536874,0.7925482777536874,0.9307382258496116,0.9307382258496116,0.9307382258496116,0.9307382258496116,0.9307382258496116,0.9307382258496116,0.9307382258496116,0.9307382258496116,0.9307382258496116,0.9307382258496116
T000049,1.9573554991017834,1.9573554991017834,1.9573554991017834,1.9573554991017834,1.9573554991017834,1.9573554991017834,1.9573554991017834,1.9573554991017834,1.9573554991017834,1.9573554991017834,1.9573554991017834,2.9671778471572967
T000050,1.8394877246574404,1.8394877246574404,1.8394877246574404,1.7750386168476715,1.7817990985979621,1.7817990985979621,1.7817990985979621,1.7817990985979621,1.7817990985979621,1.7817990985979621,1.7817990985979621,1.7750386168476715
T000051,2.7046939573269833,2.7046939573269833,2.7046939573269833,2.881090216014503,2.881090216014503,2.881090216014503,2.881090216014503,2.881090216014503,2.881090216014503,2.881090216014503,2.881090216014503,2.987518258885261
T000052,1.6138962549771299,1.6138962549771299,1.6138962549771299,1.6138962549771299,0.6526522207476091,0.6526522207476091,0.6526522207476091,0.6526522207476091,0.6526522207476091,0.6526522207476091,0.6526522207476091,0.7160881663826301
T000053,3.8213458483136025,3.8213458483136025,3.8213458483136025,2.954418438874615,2.954418438874615,2.954418438874615,2.954418438874615,2.954418438874615,2.954418438874615,2.954418438874615,2.954418438874615,2.954418438874615
T000054,0.23943503530441065,0.23943503530441065,0.25387046810061464,0.25387046810061464,0.25564860043986154,0.25564860043986154,0.25387046810061464,0.25387046810061464,0.25387046810061464,0.25387046810061464,0.25387046810061464,0.25387046810061464
T000055,2.6078708182728456,2.6078708182728456,2.624452008871009,2.624452008871009,2.624452008871009,2.624452008871009,2.624452008871009,2.624452008871009,2.624452008871009,2.624452008871009,2.624452008871009,2.624452008871009
T000056,0.8309776727694218,0.7554993015974416,0.7554993015974416,0.6083385793331564,0.6083385793331564,0.6083385793331564,0.75512103846493,0.75512103846493,0.75512103846493,0.75512103846493,0.75512103846493,0.75512103846493
T000057,4.329489108584225,4.346783426217211,4.346783426217211,4.346783426217211,1.7531628118817075,1.7531628118817075,1.7531628118817075,1.7531628118817075,1.7531628118817075,1.7531628118817075,1.7531628118817075,1.7531628118817075
T000058,1.671272186411034,1.671272186411034,1.847064425085907,1.6254337482788186,1.6254337482788186,1.6254337482788186,1.6254337482788186,1.6254337482788186,1.6254337482788186,1.6254337482788186,1.6254337482788186,1.847064425085907
T000059,2.6581483152886083,2.6581483152886083,2.6581483152886083,2.401606414332696,2.401606414332696,2.401606414332696,2.401606414332696,2.401606414332696,2.401606414332696,2.401606414332696,2.401606414332696,3.685111531496378
