unique_id,MetaARIMA(0.05),MetaARIMA(0.12),MetaARIMA(0.2),MetaARIMA(0.27),MetaARIMA(0.35),MetaARIMA(0.42),MetaARIMA(0.5),MetaARIMA(0.58),MetaARIMA(0.65),MetaARIMA(0.72),MetaARIMA(0.8),MetaARIMA(0.88),MetaARIMA(0.95),AutoARIMA
T000000,3.391304718756867,3.3512933239535303,3.3512933239535303,3.3512933239535303,3.3512933239535303,3.4164004903033374,3.387193412066891,3.4164004903033374,3.4550961594419936,3.4550961594419936,3.3512933239535303,3.345642504149684,3.4060756526091636,3.5130602619895153
T000001,2.1994146642849954,2.1728393674672764,2.1728393674672764,2.1728393674672764,2.1728393674672764,2.556900898678735,2.440221217495022,2.2117135938747587,2.4510680814057264,2.4510680814057264,2.1728393674672764,2.1728393674672764,2.1994146642849954,2.1595053437270186
T000002,0.36927792895438116,1.4398108477495384,1.4398108477495384,1.4398108477495384,1.4398108477495384,1.4398108477495384,1.4325420532967457,1.4398108477495384,1.4398108477495384,1.4398108477495384,1.4398108477495384,1.4398108477495384,0.6232072646668786,2.2161752580847875
T000003,0.630906852518286,1.5969828606578604,1.5969828606578604,1.5969828606578604,1.5969828606578604,1.5969828606578604,0.7167814286117205,0.7167814286117205,1.742028289689684,1.742028289689684,1.742028289689684,1.742028289689684,0.7167814286117205,3.402593159183047
T000004,3.5710406497470726,1.813894051966979,1.813894051966979,4.046239117708875,4.384135488003756,4.383747304449152,5.168127431765647,4.881731389371708,4.937783535661555,5.426440856982786,5.0782796165648,5.131089854568201,4.383747304449152,4.3766517219061845
T000005,0.7557557943557265,0.9903785867577249,2.094243477053087,2.094243477053087,2.094243477053087,2.121671193531836,2.18396955343821,2.080593370315354,2.081487933094121,2.081487933094121,2.081487933094121,2.081487933094121,1.2113865860205977,2.324101633451328
T000006,0.9467424954494171,1.3905977510957106,1.3905977510957106,1.3905977510957106,1.3905977510957106,1.0703897636249264,1.418675369124525,1.0703897636249264,1.0703897636249264,1.1285515375113864,1.2199224074642938,1.0703897636249264,0.9469806551097996,0.7764696870793254
T000007,0.6972792153103247,0.14429564586320906,0.14429564586320906,0.14265391939708924,0.15990882345029592,0.15990882345029592,0.147216672967971,0.147216672967971,0.147216672967971,0.1433164004653103,0.1433164004653103,0.1433164004653103,0.12632252934737456,0.4024326807361102
T000008,1.5391389340457753,0.6272960885626866,0.728017356283955,0.836893182080003,0.836893182080003,0.6272960885626866,0.836893182080003,0.836893182080003,1.478908401377292,1.478908401377292,1.4370003965730223,0.6543557884735997,0.48362517657729914,0.6403574319608956
T000009,1.343443144178932,1.199488983979988,1.2619123054052956,1.2619123054052956,1.2619123054052956,1.2619123054052956,1.199488983979988,2.008375001412822,1.1674379690695602,1.1003422579282425,1.199488983979988,1.199488983979988,1.2136763285369019,1.5974528642444161
T000010,0.7741748183194418,0.9369468248842592,0.9369468248842592,0.9369468248842592,2.324761032941856,2.355225525621663,2.355225525621663,1.363649561379532,0.8708264290095926,0.907684485842003,0.907684485842003,0.907684485842003,0.9369468248842592,3.1398667242035976
T000011,0.3228380625564176,0.7825451102684425,0.31167031241471144,0.5886755566836733,0.5886755566836733,0.5886755566836733,1.7014967892025656,0.7825451102684425,0.7825451102684425,0.7825451102684425,1.379876335534801,1.7014967892025656,1.379876335534801,2.005508239321306
T000012,0.28587436898151003,0.32931404324488306,0.3168035519334528,0.3168035519334528,0.3168035519334528,0.32931404324488306,0.32931404324488306,0.4255374153099546,0.39919000240544317,0.42618794780020774,0.42618794780020774,0.32931404324488306,0.3632767334530982,0.3250127530167656
T000013,4.984538813697505,2.620496218461459,4.89584625080447,1.1575813908241568,1.1477144141640856,1.1863158996675265,1.1289522115229758,1.5240224117075243,1.545967302605753,1.2321767497409954,1.1289522115229758,5.224764895434559,5.224764895434559,4.882173353364397
T000014,0.5069736264927927,0.445144807388471,0.6002549083706763,0.6002549083706763,0.6002549083706763,0.6002549083706763,0.9285962493776051,0.9285962493776051,1.0133971570543836,1.0133971570543836,0.9285962493776051,0.7712915981819027,0.9285962493776051,0.8344874805961869
T000015,2.001664152625402,1.4879399554154418,1.6712938884690134,1.6712938884690134,0.719672582969398,0.719672582969398,2.5431603881378777,2.548564620862494,2.548564620862494,2.548564620862494,3.1570507037545728,1.250250880202693,0.719672582969398,1.7458041623477998
T000016,0.7958490085300258,0.7811394309932715,0.7797793696232643,0.7797793696232643,0.7797793696232643,0.7811394309932715,0.7797793696232643,1.1069478309289746,1.1069478309289746,1.1215834932287945,1.1215834932287945,0.7814289936686519,0.8188472568915292,1.1215265404425845
T000017,3.02490580513784,3.02490580513784,2.0618725488589824,2.0618725488589824,2.3047511332784714,2.3047511332784714,0.8402978439850147,0.8402978439850147,0.6833859756721256,1.1804952700100848,0.9726386831610219,0.9726386831610219,2.6859833783930256,1.2489170997032837
T000018,0.8391439890000009,0.8915616904120881,1.0025058803635387,1.159125413393181,1.0808277896712655,1.0808277896712655,1.0808277896712655,1.0808277896712655,1.2052016470318554,1.2052016470318554,1.2052016470318554,1.2052016470318554,0.9661267225605451,1.0808277896712655
T000019,0.572944022589245,0.5156991162918834,0.4782043731933347,0.4960519577026687,0.5156991162918834,0.6701104741085673,0.6701104741085673,0.5146257702260362,0.5146257702260362,0.5146257702260362,0.5146257702260362,0.5997675388296211,0.4820173615102995,0.4808418303805043
