unique_id,MetaARIMA(1),MetaARIMA(2),MetaARIMA(5),MetaARIMA(10),MetaARIMA(20),MetaARIMA(30),MetaARIMA(40),MetaARIMA(50),MetaARIMA(75),MetaARIMA(94),AutoARIMA
T000000,0.7184087279125188,0.7184087279125188,0.7184087279125188,0.7184087279125188,0.7184087279125188,0.7184087279125188,0.9243518121487843,0.9243518121487843,0.9243518121487843,0.9243518121487843,0.7184087279125188
T000001,0.5802256444624677,0.5525934824055727,0.6757810978869992,0.6610075602467115,0.6610075602467115,0.6610075602467115,0.6610075602467115,0.6610075602467115,0.6610075602467115,0.6610075602467115,0.6302798637755809
T000002,0.5958574685219603,0.5958574685219603,0.5958574685219603,0.5958574685219603,0.29899799980367375,0.7106584109478251,0.7106584109478251,0.7487315886714974,0.7487315886714974,0.7487315886714974,0.7498324729326424
T000003,0.8730744052304914,0.8730744052304914,0.8730744052304914,0.8730744052304914,0.8730744052304914,0.8730744052304914,0.9674730914964241,0.9674730914964241,0.9674730914964241,1.245674568896637,0.8730744052304914
T000004,3.387074051529042,3.0923427911656396,3.0471357469864717,3.0471357469864717,1.358290436702272,1.358290436702272,1.7192034229869313,1.7192034229869313,2.4408520185345695,2.5614289074206598,1.816378058663533
T000005,0.4437164727765378,0.4437164727765378,0.28360198806922515,0.9533611667458269,0.9533611667458269,0.9533611667458269,0.8625377948617169,0.8625377948617169,0.7327651307557895,1.7964413084416038,1.1243849887463249
T000006,0.7641200385972384,0.7641200385972384,0.26248732509123907,0.26248732509123907,0.26248732509123907,0.26248732509123907,0.26248732509123907,0.26248732509123907,0.26248732509123907,0.26248732509123907,0.57111672347501
T000007,0.5559397823744839,0.5559397823744839,0.15077963299197963,0.15077963299197963,0.15077963299197963,0.15077963299197963,0.15077963299197963,0.15077963299197963,0.37162169093825964,0.37162169093825964,0.30663269541469235
T000008,0.4697328928807101,0.48730509340067435,0.48730509340067435,0.48730509340067435,0.48730509340067435,0.48730509340067435,0.48730509340067435,0.48730509340067435,0.5224522463199767,0.5224522463199767,0.48730509340067435
T000009,1.496950351486244,1.48067672832751,1.48067672832751,1.48067672832751,0.6662314639027648,0.6662314639027648,0.6662314639027648,0.6662314639027648,0.6662314639027648,0.6662314639027648,1.48067672832751
T000010,2.5631402620128765,2.5631402620128765,2.2109117214079386,2.2109117214079386,2.2109117214079386,2.223133438568104,2.223133438568104,2.223133438568104,2.223133438568104,2.223133438568104,2.60775796728033
T000011,0.6902896255733788,0.6902896255733788,0.5350959265789721,0.5350959265789721,0.5350959265789721,0.5350959265789721,0.5350959265789721,0.5350959265789721,0.5350959265789721,0.5350959265789721,0.2474289826730907
T000012,4.162099762293401,4.162099762293401,4.162099762293401,4.162099762293401,4.162099762293401,4.162099762293401,4.162099762293401,4.23316503699217,4.23316503699217,4.2319595295073205,4.162099762293401
T000013,0.5461919798872517,0.5461919798872517,0.5461919798872517,1.1403092473853975,0.42727250641525294,0.42727250641525294,0.42727250641525294,0.42727250641525294,0.42727250641525294,0.42727250641525294,0.6979452527950952
T000014,0.3221576657864379,0.3221576657864379,0.3221576657864379,0.3221576657864379,0.5504371177179304,0.5504371177179304,0.5504371177179304,0.5504371177179304,0.5504371177179304,0.5504371177179304,0.7142795557035375
T000015,0.4389759262638661,0.4389759262638661,0.33047621303939406,0.33047621303939406,0.45505480136824195,0.45505480136824195,0.45505480136824195,0.535479829171519,0.5330982303924877,0.5330982303924877,0.4810150863682722
T000016,0.4622387638089775,0.3067719141659191,0.17453825282757987,0.17453825282757987,0.25753823739118265,0.25753823739118265,0.25753823739118265,0.25753823739118265,0.25753823739118265,0.25753823739118265,0.50187632685458
T000017,0.7073978491479203,0.7073978491479203,0.499471863392216,0.499471863392216,0.499471863392216,0.499471863392216,0.5882623540967611,0.5882623540967611,0.4971929727323036,0.4971929727323036,0.6742411983625101
T000018,1.8505989004132268,1.8505989004132268,3.025182830061356,3.025182830061356,3.00450492498669,3.00450492498669,3.00450492498669,3.00450492498669,3.00450492498669,3.00450492498669,1.8553782483101182
T000019,0.1294080459939889,0.1294080459939889,0.3681262323912411,1.3806498726070964,1.4353050872271242,1.4353050872271242,1.4353050872271242,1.4353050872271242,1.4353050872271242,1.4353050872271242,0.1412088578616159
T000020,1.5422926455618302,1.5422926455618302,1.5422926455618302,1.5683732588969148,1.5846252644933205,1.5846252644933205,1.5846252644933205,1.5846252644933205,1.1912671582785916,1.5836826542889322,2.423757770789603
T000021,0.22755608710296715,0.2843111107522171,0.2843111107522171,0.2843111107522171,0.2903407891455063,0.31922511321167146,0.31922511321167146,0.34490762510324163,0.34490762510324163,0.25451700431190566,0.3767477966957802
T000022,2.244927990557004,2.244927990557004,2.286522556056507,2.286522556056507,2.0890397895880364,2.0890397895880364,2.0890397895880364,2.0890397895880364,2.0890397895880364,2.1960505874821425,2.0890397895880364
T000023,0.9020945887863615,0.9020945887863615,0.9020945887863615,1.2457013386985356,1.2457013386985356,0.4168816780444166,0.4168816780444166,0.4168816780444166,0.4168816780444166,0.4168816780444166,0.8460279264316799
T000024,5.389889822948779,5.389889822948779,5.125320678447347,5.115694937534857,5.115694937534857,5.115694937534857,5.115694937534857,5.115694937534857,4.3846496585482075,4.3846496585482075,5.093901339116032
T000025,1.0779229709972955,1.4642473120931392,1.4642473120931392,1.4642473120931392,1.4642473120931392,1.4642473120931392,1.5881739936045445,1.5881739936045445,1.5881739936045445,1.5881739936045445,1.4276681875785202
T000026,2.032013568750185,2.032013568750185,2.032013568750185,1.1802539379011947,1.1802539379011947,1.1802539379011947,1.1802539379011947,1.1802539379011947,1.1802539379011947,1.1802539379011947,2.1083724538052326
T000027,2.649623280587696,2.649623280587696,2.588299517039404,2.588299517039404,2.588299517039404,2.554370841360293,2.554370841360293,1.9699811702292174,2.035014484132126,2.035014484132126,2.554370841360293
T000028,0.7443113374067153,0.6598346893642668,0.7518952096475847,0.7518952096475847,0.7518952096475847,0.7518952096475847,0.7518952096475847,0.7518952096475847,0.7518952096475847,0.7518952096475847,0.6276037289294935
T000029,1.1368790459485374,1.1368790459485374,1.5820364391620347,1.5820364391620347,1.5900278679618514,1.5900278679618514,1.5900278679618514,1.412480383510792,1.412480383510792,1.412480383510792,1.6072109806715205
T000030,2.4053125221619567,2.4053125221619567,2.4053125221619567,2.4053125221619567,2.4053125221619567,2.4053125221619567,2.4053125221619567,2.4053125221619567,2.4053125221619567,2.4053125221619567,4.417255644571346
T000031,0.23129257403621825,0.23129257403621825,0.23129257403621825,0.23129257403621825,0.23129257403621825,0.23129257403621825,0.23129257403621825,0.23129257403621825,0.19256150883996712,0.19256150883996712,0.19256150883996712
T000032,0.7262714696798683,0.7558791542183658,0.6012218091714371,0.6012218091714371,1.0315964955667953,1.0315964955667953,0.9237693200025524,0.9237693200025524,0.9237693200025524,0.9237693200025524,0.7525507790836172
T000033,1.0129030934132366,1.453773916481309,1.453773916481309,1.453773916481309,0.9792298248437014,0.9792298248437014,0.9792298248437014,0.9792298248437014,0.9716426086082187,0.9716426086082187,1.6392570527334027
T000034,0.5772781259922147,0.5772781259922147,0.5772781259922147,0.5772781259922147,0.5772781259922147,0.5772781259922147,0.7491927148535076,0.7491927148535076,0.7491927148535076,0.7491927148535076,0.5772781259922147
T000035,0.48671667774484934,0.48671667774484934,0.48671667774484934,0.49647542772174574,0.49647542772174574,0.49647542772174574,0.49647542772174574,0.49647542772174574,0.49647542772174574,0.49647542772174574,0.9894196543116103
T000036,0.24842267055031342,0.23207802892900767,0.24016855713511445,0.2573944387558008,0.20839218656227967,0.20839218656227967,0.22602269012325193,0.24648654983978252,0.572820208843884,0.28437938003200486,0.2269676002927489
T000037,0.9835026401848411,1.1350339143690007,1.1350339143690007,1.1350339143690007,1.2096630292763855,1.2096630292763855,1.2096630292763855,1.2096630292763855,1.2096630292763855,1.2096630292763855,0.927795433766259
T000038,1.8503169757351696,1.8503169757351696,1.5744502635304414,1.5744502635304414,1.5744502635304414,1.5744502635304414,1.5744502635304414,1.5744502635304414,1.5744502635304414,1.5744502635304414,2.534012762053264
T000039,0.9095875980064723,0.9095875980064723,0.7829329010199058,0.7783088786631223,0.4220894663107367,0.4220894663107367,0.5312443313373074,0.5312443313373074,0.6367390355048342,1.0408605073736852,0.7776519843526392
T000040,1.3359420855893345,1.3359420855893345,1.7093143844947685,1.7093143844947685,1.5992608205894956,1.4475079238176065,1.7015661547567476,0.9122807931434577,1.0977397280998795,0.9206112750074722,2.217732290598061
T000041,4.701283136598405,4.701283136598405,4.701283136598405,4.838910587336311,4.838910587336311,4.838910587336311,4.838910587336311,4.67356046496456,4.67356046496456,4.822203642376826,4.838910587336311
T000042,1.2107900872288877,1.2107900872288877,1.2107900872288877,1.3239351398214583,1.3239351398214583,1.3239351398214583,1.3239351398214583,1.1012226375400007,1.1012226375400007,1.1012226375400007,1.3239351398214583
T000043,0.05947414481369559,0.04159989753331516,0.16109896888333933,0.3350275943208317,0.3350275943208317,0.3350275943208317,0.3350275943208317,0.3350275943208317,0.3350275943208317,0.3350275943208317,0.04159989753331516
T000044,0.35635301963032195,0.35635301963032195,0.8172349653527167,0.8172349653527167,0.8172349653527167,0.47399426231021596,0.47399426231021596,0.47399426231021596,0.8280231557617542,0.8280231557617542,0.5555063192351132
T000045,1.1882425842440656,1.2065177465357342,0.6368900925519301,0.6368900925519301,0.6368900925519301,0.6368900925519301,0.6368900925519301,0.6368900925519301,0.5998083121794773,0.5998083121794773,1.2005269601965873
T000046,0.5807386653417125,0.4747045454661935,0.4747045454661935,0.3805534810899388,0.3805534810899388,0.3805534810899388,0.3805534810899388,0.3805534810899388,0.3805534810899388,0.3805534810899388,0.6327126988388622
T000047,0.8008695653792608,0.9068998948576615,0.9068998948576615,0.9068998948576615,0.9068998948576615,0.9068998948576615,0.9068998948576615,0.9068998948576615,0.9068998948576615,0.9068998948576615,0.14707744233174777
T000048,1.382629401824996,1.2265910426407094,1.2265910426407094,1.2265910426407094,1.2265910426407094,1.2265910426407094,1.0786927421348038,1.0786927421348038,0.9294365883949349,0.9294365883949349,1.2265910426407094
T000049,1.068682620147614,1.130104689982586,1.068682620147614,1.0650869032051973,1.0650869032051973,1.0650869032051973,1.0650869032051973,1.0650869032051973,1.0783895587739516,1.0783895587739516,2.0663748557186805
T000050,0.9624738072704044,0.9811173441881077,1.3199800447004544,1.3370039002965406,0.9824035680164703,1.3711147243700512,1.2285473841065222,1.2370965269500205,1.1782720198114596,1.1782720198114596,1.1254422494611653
