unique_id,MetaARIMA(0.05),MetaARIMA(0.12),MetaARIMA(0.2),MetaARIMA(0.27),MetaARIMA(0.35),MetaARIMA(0.42),MetaARIMA(0.5),MetaARIMA(0.58),MetaARIMA(0.65),MetaARIMA(0.72),MetaARIMA(0.8),MetaARIMA(0.88),MetaARIMA(0.95),AutoARIMA
T000000,1.4777796980868283,1.4033834726320225,1.4066246440889405,1.4066246440889405,1.0974044501972444,1.0974044501972444,1.0974044501972444,1.0974044501972444,1.4332236886166485,1.5883026039295092,1.3978413305186526,1.312067635608144,1.312067635608144,0.9495269714509343
T000001,1.5214486706771875,1.7094716205203189,1.7094716205203189,1.7094716205203189,1.7882539435755942,1.7882539435755942,1.5214486706771875,2.071294956265075,2.071294956265075,3.090703572537152,1.2737046495032023,2.1554689868409898,1.6281590178338854,0.49748515319614145
T000002,1.968262785626589,1.9183855237994667,2.039968123163564,2.011015637005436,2.020499287860433,2.051089416392087,2.051089416392087,2.0083043998224697,2.039968123163564,2.020499287860433,2.020499287860433,2.020499287860433,2.048282756217553,1.8529186801370467
T000003,1.7657429400897333,1.7657429400897333,1.5689390363545277,1.5689390363545277,1.5689390363545277,1.4864629066537536,1.7689383018937754,1.667292903931936,1.667292903931936,1.5689390363545277,1.5689390363545277,1.7152700847893543,1.7152700847893543,2.249830179581461
T000004,1.8648315695446085,2.0014798840160437,2.017987427981798,2.0716277386193154,1.9904193537676034,2.082213844385394,2.0716277386193154,1.9402156534775286,2.0760669362720594,2.0760669362720594,2.0760669362720594,2.013123890183903,2.017987427981798,1.8850736667432746
T000005,0.9401160911457637,0.9401160911457637,0.8376102408017726,0.8376102408017726,0.8376102408017726,0.8376102408017726,1.2741772280412251,1.2741772280412251,0.7699262925280388,0.7699262925280388,0.7699262925280388,0.9944083532846144,1.2343016884725253,1.0469124802279455
T000006,0.8234933572107717,1.0002807672896854,1.1216815904799662,1.0002807672896854,1.0002807672896854,1.119187810235656,1.0216660843631185,1.0216660843631185,1.0216660843631185,1.0216660843631185,1.0216660843631185,1.085302141222067,1.124898879140749,1.0002807672896854
T000007,1.3740144810941273,0.6255949955117015,0.6518672341182482,0.6518672341182482,0.6518672341182482,0.6518672341182482,0.4752782159377803,0.4752782159377803,0.4752782159377803,0.4939939648338336,0.4939939648338336,0.5745912380951524,0.5745912380951524,0.6518672341182482
T000008,0.7485140916679521,0.6822744011516031,0.6822744011516031,0.7108821329063245,0.7108821329063245,0.7108821329063245,0.7148624690774452,0.6833494651612342,0.6833494651612342,0.6833494651612342,0.6833494651612342,0.9046016817917956,0.73035860674613,0.7139031044346115
T000009,0.5114651154213044,0.5323785172622414,0.4373710619798552,0.4804511661451101,0.5528107641867525,0.5596548711274174,0.5515515408836874,0.5532895603861762,0.5532895603861762,0.404146675098086,0.4373710619798552,0.5623512661286402,0.4493867506142559,0.4078405802674096
T000010,5.078519453022994,5.577195849026535,5.148972119244881,5.148972119244881,5.148972119244881,5.148972119244881,5.221999553433016,5.486062141459638,5.486062141459638,5.142536412192274,5.142536412192274,5.142536412192274,5.1354562561937405,5.366506944612241
T000011,0.5190532028951013,1.3439781289942516,0.43396964206452565,1.3963977645348749,1.4421135483557923,0.5189179652910626,0.4939590312087072,0.5024881353155292,0.5024881353155292,0.5270026114636043,0.5190532028951013,0.5190532028951013,0.5190532028951013,0.7664053937883334
T000012,0.6151346180132738,0.5629035331005712,0.5309392063833042,0.5629035331005712,0.5309392063833042,0.5629035331005712,0.5629035331005712,0.5629035331005712,0.5629035331005712,0.5629035331005712,0.5262908621889876,0.5629035331005712,0.6407669036982686,0.6303076217638398
T000013,1.9540441198578118,1.9036839647579955,2.0063342931046546,1.9036839647579955,1.9036839647579955,1.9036839647579955,1.8991581481830146,1.8741032556091908,1.6761769596631815,1.6225801438515857,1.6996488447167375,1.533359979436965,1.4567209378819992,1.8985601707689481
T000014,1.3149668278489004,1.04695201035996,1.04695201035996,1.1117868916092835,1.1117868916092835,0.92092229107834,0.9269749707354401,0.9269749707354401,0.9269749707354401,0.910033216708009,0.9377637835386933,0.864600342546298,1.2221141103983157,0.97033760107578
T000015,0.5320659391897103,0.5030815937434447,0.5098778221200101,0.5098778221200101,0.5082929391086427,0.5082929391086427,0.31780594922562233,0.32483621196365103,0.3524618111687124,0.3524618111687124,0.3507395061292157,0.5030815937434447,0.5030815937434447,0.31780594922562233
