MetaARIMA,AutoARIMA,"ARIMA(2,1,2)","ARIMA(1,0,0)",SeasonalNaive,AutoTheta,AutoETS,unique_id,dataset
0.049805436222205,0.0589167223618701,0.0583312039502022,0.1098134266851987,0.0470718882099048,0.0460655789661056,0.051860627689528,M100,M3(Monthly)
0.1139636460613324,0.0597341922595568,0.0995940373134506,0.0978914585159646,0.1229641574141446,0.1071812373385427,0.0987904823297529,M10,M3(Monthly)
0.2358499348135259,0.2277251916464619,0.2419504289253375,0.3743384368812472,0.4402551250452773,0.3068803439245566,0.3732428236244002,M1,M3(Monthly)
0.0051923647673198,0.0053460248153676,0.005103680056545,0.0052986215974151,0.0131551990709117,0.0083778073976453,0.0053532959718768,M1001,M3(Monthly)
0.0119394476716067,0.0104344769138761,0.0112078823691655,0.023293297317974,0.0373752795298622,0.0174807766721464,0.0126905820546918,M1002,M3(Monthly)
0.0063509171765566,0.0147576269767128,0.0047532819030179,0.0072176472914118,0.0060152561502371,0.0052750928662421,0.0057004701598065,M1004,M3(Monthly)
0.0034746859134544,0.003404233207273,0.0025833911987529,0.0034042358611945,0.012316938669575,0.0030393625243112,0.0030665521841027,M1000,M3(Monthly)
0.0104686063360998,0.0098879957121057,0.0060266829957738,0.0055767114021929,0.0094041080974543,0.0093662699006512,0.0103107117712886,M1003,M3(Monthly)
0.0306682465102182,0.0358851886115567,0.0371659426224514,0.0358377839359167,0.0187065356816122,0.0317596963481198,0.0358655323265308,M101,M3(Monthly)
0.0151811722400723,0.0143984067639577,0.0141552460837425,0.0178088640182093,0.0200803093856292,0.0119928815092592,0.0143854726865793,M1005,M3(Monthly)
0.0013622758807749,0.0023469298192498,0.0041656055551304,0.0018981768461594,0.0057647799662456,0.0047794861702372,0.005244950890934,M1006,M3(Monthly)
0.0249193293830829,0.0247265783362525,0.0245204494365936,0.0254440141070375,0.0201989817568981,0.0216256676997749,0.0246996278616909,M1007,M3(Monthly)
0.0028291946943472,0.0029591054937692,0.0034576848897391,0.0029892264005039,0.0076984404509935,0.0065927344999465,0.0028382032227066,M1008,M3(Monthly)
0.0094505527265456,0.0190094441939293,0.0101214314257515,0.027045754393997,0.0634524265885026,0.0333904618396208,0.0118961949398784,M1009,M3(Monthly)
