MetaARIMA(0.0),MetaARIMA(0.1),MetaARIMA(0.2),MetaARIMA(0.3),MetaARIMA(0.4),MetaARIMA(0.5),MetaARIMA(0.6),MetaARIMA(0.7),MetaARIMA(0.8),MetaARIMA(0.9),MetaARIMA(1.0),unique_id,AutoARIMA
0.0608940421004655,0.0608940421004655,0.0608940421004655,0.0608940421004655,0.0608940421004655,0.0855409818377526,0.088564510546466,0.0596947398255388,0.0596947398255388,0.0596947398255388,0.0596947398255388,"Tourism,Monthly,m101",0.1118381727154895
0.0774289395248077,0.0622797479060753,0.0622797479060753,0.0622797479060753,0.0699691319256399,0.0699691319256399,0.0578664816996732,0.0582330299897356,0.0582330299897356,0.0582330299897356,0.0582330299897356,"Tourism,Monthly,m100",0.2483116404519458
0.092863855897043,0.092863855897043,0.092863855897043,0.092863855897043,0.0633748366769825,0.0603041222273055,0.0590370808069229,0.0590370808069229,0.0603041222273055,0.0603041222273055,0.0603041222273055,"Tourism,Monthly,m102",0.1723376770226874
0.0977271795727568,0.0977271795727568,0.0977271795727568,0.0977271795727568,0.1086346136746247,0.0972529803990115,0.0972529803990115,0.0970116883510596,0.0970116883510596,0.0970116883510596,0.0970116883510596,"Tourism,Monthly,m112",0.1241294186236666
0.1259077129742317,0.1259077129742317,0.1147876238417317,0.1147876238417317,0.1256186223332449,0.1252739777583013,0.1261792758580606,0.1261792758580606,0.1261792758580606,0.1261792758580606,0.1261792758580606,"Tourism,Monthly,m111",0.1510549681544746
0.0621514832275705,0.1099795016247578,0.0661063621370676,0.0661063621370676,0.0661063621370676,0.0443384892946143,0.0443384892946143,0.0443384892946143,0.0443384892946143,0.0443384892946143,0.0443384892946143,"Tourism,Monthly,m115",0.0704018762917861
0.0411526825662131,0.0676110014870053,0.0534005038415927,0.0411526825662131,0.0411526825662131,0.0411526825662131,0.0676110014870053,0.0676110014870053,0.0415384457532312,0.0415384457532312,0.0415384457532312,"Tourism,Monthly,m108",0.0789556069770462
0.0697047294447491,0.0697047294447491,0.068230670810108,0.0697047294447491,0.068230670810108,0.068230670810108,0.0681690171713375,0.0681690171713375,0.101528693051805,0.101528693051805,0.101528693051805,"Tourism,Monthly,m125",0.2134299710655178
0.0266007682802583,0.0266767486089516,0.0266767486089516,0.0266767486089516,0.0266767486089516,0.0266767486089516,0.0175952613340651,0.0263591835050954,0.0263591835050954,0.0263591835050954,0.0263591835050954,"Tourism,Monthly,m13",0.0358045427921557
0.0778692534597658,0.0778692534597658,0.0778692534597658,0.0778692534597658,0.0778692534597658,0.0823608956792881,0.0823608956792881,0.0823608956792881,0.0823608956792881,0.0823608956792881,0.0823608956792881,"Tourism,Monthly,m157",0.1412574799717675
0.0528097339483251,0.0528097339483251,0.0528097339483251,0.0528097339483251,0.0528097339483251,0.0528097339483251,0.0528097339483251,0.0511673473410695,0.0511673473410695,0.0511673473410695,0.0511673473410695,"Tourism,Monthly,m159",0.1108118385694759
0.0399583653323087,0.0399583653323087,0.0399583653323087,0.0399583653323087,0.0399583653323087,0.0399583653323087,0.0399583653323087,0.0399583653323087,0.0399583653323087,0.0399583653323087,0.0399583653323087,"Tourism,Monthly,m16",0.0464782435550344
0.1331870590474594,0.1331870590474594,0.1331870590474594,0.1331870590474594,0.1339537710695054,0.1316329815180564,0.1318388344062229,0.1318388344062229,0.1318388344062229,0.1318388344062229,0.1318388344062229,"Tourism,Monthly,m168",0.147742776955156
0.055302033063178,0.055302033063178,0.055302033063178,0.055302033063178,0.055302033063178,0.055302033063178,0.055302033063178,0.0552549129871855,0.0552549129871855,0.0552549129871855,0.0552549129871855,"Tourism,Monthly,m173",0.0973694814925175
0.1036475334758205,0.1036475334758205,0.1036475334758205,0.1036475334758205,0.1036475334758205,0.1036475334758205,0.1036475334758205,0.1036475334758205,0.1036475334758205,0.1036475334758205,0.1036475334758205,"Tourism,Monthly,m179",0.2281530807632237
0.0789215669129353,0.0789215669129353,0.0789215669129353,0.0789215669129353,0.0789215669129353,0.0789215669129353,0.0789215669129353,0.0789215669129353,0.043848834559199,0.043848834559199,0.0374340851397735,"Tourism,Monthly,m182",0.105397050658681
0.0284646395136503,0.0284646395136503,0.0284646395136503,0.0284646395136503,0.0284646395136503,0.0295208442302545,0.0289602204631292,0.0289602204631292,0.0289602204631292,0.0289602204631292,0.0289602204631292,"Tourism,Monthly,m187",0.0991706098575118
0.0755035228243884,0.0755035228243884,0.0755035228243884,0.0755035228243884,0.0755035228243884,0.0755035228243884,0.0755817606202081,0.0755817606202081,0.0755817606202081,0.0755817606202081,0.0755817606202081,"Tourism,Monthly,m190",0.0940805551642854
0.0458623345457862,0.0917794474471628,0.0917794474471628,0.0917794474471628,0.0917794474471628,0.0917794474471628,0.0917794474471628,0.0917794474471628,0.0917794474471628,0.0917794474471628,0.0917794474471628,"Tourism,Monthly,m193",0.1509585145615421
0.0767960328209751,0.0767960328209751,0.0767960328209751,0.0767960328209751,0.0767960328209751,0.0767960328209751,0.0759563319107421,0.0759563319107421,0.0759563319107421,0.0759563319107421,0.0759563319107421,"Tourism,Monthly,m204",0.1219690816094918
0.061684690233683,0.061684690233683,0.061684690233683,0.061684690233683,0.061684690233683,0.0624784496438039,0.0618718112021355,0.0618718112021355,0.0618718112021355,0.0618718112021355,0.0618718112021355,"Tourism,Monthly,m207",0.1174473232549277
