,avg,med
MetaARIMA(0.025),0.08541775300086997,0.06794818626541549
MetaARIMA(0.05),0.08315437782442583,0.0689105784451099
MetaARIMA(0.075),0.08247880822957823,0.06651449144939475
MetaARIMA(0.1),0.08106957973739136,0.0659573369335235
MetaARIMA(0.125),0.08028636755656718,0.0661468584840255
MetaARIMA(0.15),0.0796509461436337,0.0657632620684811
MetaARIMA(0.175),0.08021385395555458,0.0681193091766418
MetaARIMA(0.2),0.07842900914415234,0.0657238016156935
MetaARIMA(0.225),0.0787939503136,0.0666017939342152
MetaARIMA(0.25),0.07843984192919108,0.06537044151212634
MetaARIMA(0.275),0.0791784821949079,0.0659320927180484
MetaARIMA(0.3),0.07941292170533272,0.0646152317451341
MetaARIMA(0.325),0.0783614263809704,0.06595047690117359
MetaARIMA(0.35),0.07819942897412516,0.0635593259821901
MetaARIMA(0.375),0.07775347042247249,0.0659320927180484
MetaARIMA(0.4),0.0780890752823417,0.0639538045935775
MetaARIMA(0.425),0.0778908531838931,0.06356471330523986
MetaARIMA(0.45),0.07963381176240641,0.0655219483338485
MetaARIMA(0.475),0.07875319510248742,0.0634760364764155
MetaARIMA(0.5),0.07727139507032256,0.0649527520113211
