MetaARIMA,No-PCA,No-MMR,No-Binarization,No-SH,Monte Carlo,Regr. Chain,Multi-output Regr.
0.0666017939342152,0.0919423318896475,0.0824464745891236,0.0913252820094639,0.0777805495288742,0.0595199177393925,0.0666017939342152,0.0666017939342152
0.0570631342163189,0.0566876726628961,0.1806162058808567,0.0677652430264447,0.0720027411861784,0.0825246817186505,0.0737002771900776,0.0570631342163189
0.0603041222273055,0.0742350495403478,0.1583998544659959,0.0695910012183478,0.1163350242135003,0.0603041222273055,0.0603041222273055,0.0603041222273055
0.0978044154510769,0.0942911135143872,0.1222975654108915,0.0953296866112649,0.0978044154510769,0.0978044154510769,0.0970116883510596,0.0978044154510769
0.1261792758580606,0.1261061806736992,0.1216435178556312,0.1284429300310521,0.1261792758580606,0.1261792758580606,0.1261792758580606,0.1261792758580606
0.0630404858588237,0.0629683125102132,0.0295834300049723,0.0630404858588237,0.0630404858588237,0.0629683125102132,0.0630404858588237,0.0630404858588237
0.0388426032453739,0.0568577440999963,0.0690313174765067,0.0411526825662131,0.0508528416282391,0.0380657043061312,0.0499790833826155,0.0388426032453739
0.0681690171713375,0.0800241102857771,0.1791633698065234,0.0681690171713375,0.0681690171713375,0.0681690171713375,0.1051943112471438,0.0681690171713375
0.0261040976345151,0.0223649431473432,0.028814045410319,0.0266767486089516,0.0261040976345151,0.0307647745058733,0.0296224015518834,0.0261040976345151
0.0823608956792881,0.0808536884976537,0.0876446858588019,0.0808551216886474,0.0823608956792881,0.0823608956792881,0.0823608956792881,0.0823608956792881
0.0529249212459299,0.0539394687396294,0.0714160244457879,0.0552636444096974,0.0713303304454417,0.0561897740169367,0.0526877058070076,0.0529249212459299
0.0399583653323087,0.029833092417942,0.1032309372446925,0.0400468273657212,0.0399583653323087,0.033709057675082,0.0399583653323087,0.0399583653323087
0.1318388344062229,0.1350991186741044,0.1401371263745531,0.1648799737057805,0.1318388344062229,0.1318388344062229,0.1318388344062229,0.1318388344062229
0.0552549129871855,0.0552549129871855,0.1746557008525822,0.0557914742886096,0.0552549129871855,0.0552549129871855,0.0552549129871855,0.0552549129871855
