unique_id,MetaARIMA(1),MetaARIMA(2),MetaARIMA(5),MetaARIMA(10),MetaARIMA(20),MetaARIMA(30),MetaARIMA(40),MetaARIMA(50),MetaARIMA(75),MetaARIMA(94),AutoARIMA
T000000,3.484545583927497,3.484545583927497,3.5133548594339326,3.5133548594339326,3.4386954104740894,3.5130602619895153,3.5130602619895153,3.5130602619895153,3.5130602619895153,3.5130602619895153,3.5130602619895153
T000001,2.2706182701010706,2.2706182701010706,2.2706182701010706,2.2546278477098705,2.2035291370922314,2.4510680814057264,2.4510680814057264,2.3044818067737185,2.3044818067737185,2.3044818067737185,2.1595053437270186
T000002,1.8519926453679862,1.4194703059901466,1.4194703059901466,1.4325420532967457,1.4398108477495384,1.4398108477495384,1.4398108477495384,1.4398108477495384,1.4398108477495384,1.4398108477495384,2.2161752580847875
T000003,1.3598986067953642,1.3598986067953642,2.2969536872947653,0.7167814286117205,1.5969828606578604,1.5969828606578604,1.5969828606578604,1.5969828606578604,1.5969828606578604,1.5969828606578604,3.402593159183047
T000004,4.860234181729121,4.612409222709062,4.942239587916086,4.942239587916086,4.942239587916086,4.942239587916086,4.942239587916086,5.168127431765647,5.168127431765647,3.5710406497470726,4.3766517219061845
T000005,1.6834394213685062,1.6834394213685062,2.121671193531836,2.121671193531836,2.094243477053087,2.094243477053087,2.094243477053087,2.094243477053087,2.094243477053087,2.094243477053087,2.324101633451328
T000006,1.3757888743939695,1.1797855729840672,1.1797855729840672,1.3757888743939695,1.418675369124525,1.418675369124525,1.3905977510957106,1.3905977510957106,0.9419027641629373,0.9419027641629373,0.7764696870793254
T000007,0.250459074602858,0.2718804908264092,0.2718804908264092,0.2718804908264092,0.147216672967971,0.147216672967971,0.147216672967971,0.147216672967971,0.147216672967971,0.147216672967971,0.4024326807361102
T000008,0.5950588714697258,0.5950588714697258,0.5950588714697258,0.5950588714697258,0.7699105142741847,0.7713628916932649,0.7713628916932649,0.7713628916932649,0.836893182080003,0.836893182080003,0.6403574319608956
T000009,2.236020644792935,1.1674379690695602,1.1674379690695602,1.199488983979988,1.2619123054052956,1.2619123054052956,1.2619123054052956,1.2619123054052956,1.2619123054052956,1.2619123054052956,1.5974528642444161
T000010,1.5439528790678183,1.5439528790678183,0.8708264290095926,0.8708264290095926,2.355225525621663,2.355225525621663,2.355225525621663,2.355225525621663,2.355225525621663,2.355225525621663,3.1398667242035976
T000011,0.992155146664446,1.7457261733602396,1.7457261733602396,1.5441444384806196,1.5441444384806196,1.7014967892025656,1.7014967892025656,1.7014967892025656,1.7014967892025656,1.7014967892025656,2.005508239321306
T000012,0.33594375297615725,0.3360960068720955,0.37402931070975015,0.3360960068720955,0.3360960068720955,0.3355527776387315,0.3250127530167656,0.4255374153099546,0.3806632551393861,0.32931404324488306,0.3250127530167656
T000013,1.5240224117075243,1.5240224117075243,1.5240224117075243,1.5240224117075243,1.5240224117075243,1.5240224117075243,1.5240224117075243,1.545967302605753,1.545967302605753,0.7921592763100809,4.882173353364397
T000014,0.6549737407427125,0.6549737407427125,0.9748245970526117,0.6549737407427125,0.8867135820415483,0.8867135820415483,0.7712915981819027,0.901170431743072,0.6002549083706763,0.6002549083706763,0.8344874805961869
T000015,2.2447224381312254,2.3948123622267037,2.0397547811040604,1.7458041623477998,1.7458041623477998,1.7458041623477998,2.5431603881378777,3.1017295149951387,0.719672582969398,0.719672582969398,1.7458041623477998
T000016,1.130609259510362,1.130609259510362,1.130609259510362,1.1069478309289746,1.1069478309289746,1.14575757060447,1.14575757060447,1.1215265404425845,0.8203589067162625,0.7797793696232643,1.1215265404425845
T000017,0.8241295919725827,0.8241295919725827,0.8441788220269284,0.8441788220269284,0.8402978439850147,0.8402978439850147,0.8402978439850147,0.8402978439850147,1.1804952700100848,1.1804952700100848,1.2489170997032837
