unique_id,MetaARIMA,AutoARIMA,AutoETS,AutoTheta,AR,MA,ARMA,ARIMA,SeasonalNaive
T000165,0.8232617215869636,1.0061296026267872,0.9810863445491854,0.9011125949275753,1.0251514748633557,3.383231975290567,1.101835171144767,0.9573391952754162,1.0826968272620445
T000166,0.29800188842825526,0.4134929111740134,1.3716250111105557,2.133662827302403,1.3715269122192937,2.2444552694368753,0.9777741872311416,0.29413800458257267,2.517361111111111
T000167,0.34488069959247625,5.165722618724513,4.779220207900767,5.5317876241623685,6.644879128187445,14.528200816536975,5.423574123287486,5.352673652518155,8.861878453038674
T000168,1.0588613175776604,1.1774928371426052,1.6269827417866503,1.0872968933319815,0.867255371063319,3.894753834563294,0.8485782739634048,1.344576831515401,1.0114416475972547
T000169,1.305701808091135,2.866935483871,1.186067460862346,1.0524179704727556,1.0573337037047397,0.8691817935948057,0.8529089597172957,1.1769975797510464,0.9798387096774132
T000170,0.22516197011377087,0.2343124165554054,0.41540382506439383,0.22660312474330999,1.3069460749245199,2.2620160673838883,1.403593994785707,1.1445407125959195,1.2346461949265686
T000171,0.15676229508196793,0.41739486652912067,0.27216771158281217,0.2565787893826839,0.9217257223504962,2.033518764773275,0.9243706068514586,0.23680210552897063,1.0788934426229515
T000172,0.09825359650744477,0.07327979316407734,0.09193077222559375,0.15199538103238852,1.1040289034102297,2.30968785722572,0.0,0.058872120334686355,1.3095472440944884
T000173,3.608668335227066,4.030237103593174,4.2595271767882465,4.343015155494119,5.0537643122790685,9.771333417274766,4.853591775063214,4.33793529328768,5.586391869000565
T000174,7.494223878772966,7.838298655811926,7.839852700309895,7.798481130782857,8.573475212383933,11.86471621940101,8.362807782373482,8.109171471257172,9.049929178470254
T000175,0.5490113248697214,0.642621635999116,0.838201940495717,0.9243794157360531,0.941290759632988,0.19310324408273688,0.7411772178278117,0.6031131877054562,1.3232323232323233
T000176,1.2174701599170945,0.7492150770806228,1.2237505943528946,1.434262061011615,1.0283035422131748,0.6179680992605505,0.650081730656298,1.2447891233369166,3.176470588235294
T000177,9.078599379733172,9.068401592718999,9.16649500323772,8.551406181866305,9.431916259819296,12.277437863666337,9.45087321800972,9.44777328771543,9.569823663253699
T000178,0.8436300374996163,0.21821687800511608,0.14298412709827898,0.18315245847536774,1.0156794109076646,4.631292615516091,1.116267697379487,0.8720643048092596,1.053030303030304
T000179,0.5372987874167292,0.46682678869010164,0.6737128413254382,0.5783442094375458,1.4530435423032158,1.876245438521252,1.4898114094165211,0.37319325664003034,0.34197617379117007
T000180,0.26533381788387106,0.3043743011523451,0.4264077032183988,0.3930377744353612,0.516027027183919,2.2315219675141837,0.7351998848325224,0.6353398445286542,0.42090784044016505
T000181,3.148412119282521,6.865671641791049,1.5287238356743404,1.7558104337844243,3.273389042297886,3.7698684836638066,3.5782995137125053,1.9213594196381487,2.9253731343283578
T000182,2.456528752704739,1.1257446825183652,2.4066103554256784,1.7780673708710497,1.9108082850031327,1.1541649640813312,1.9328783079062506,2.272016971012409,1.8072097824360807
T000183,2.214885179100977,3.188705229722617,0.8892499338052173,0.3604253768920877,0.3295708231832435,1.1460675064049834,0.3331726208742587,0.3588752554655457,0.46666666666666806
T000184,3.4354639493337924,4.598790645346753,1.6853002064832832,1.6533174334831957,0.754801381779471,1.7092759202860852,0.8036516580984132,1.5492957196480828,1.2641509433962264
T000185,1.2291871379935617,1.0278058604563411,1.9307955609653507,1.8357492547286185,1.0951278036707233,0.9104250935946638,0.7023401153765185,1.6528023086720391,1.3824561403508773
T000186,0.47466945963246027,0.39534883720930364,0.4384602064995909,0.5563910714031077,0.6937756482822997,3.5103674379810412,0.9817281842767647,0.4589799532084522,0.4418604651162791
T000187,0.586929566206681,1.1510145524691529,1.2330692771120064,1.6175914014354433,1.8882875303391746,1.8443197914647456,1.8512002138224257,1.0648575005342922,1.5374999999999996
T000188,0.9567122250032638,0.9778034288587772,2.1022176047960075,1.7339120277552809,1.516991960861589,1.498313229745936,1.4961149179481132,2.9828240512972553,1.9929328621908124
T000189,0.7933005779305754,0.9731533478407305,0.34085995482592224,0.33811571510799476,1.3177305806096935,5.090015017029569,1.3079695700704532,0.8654606408297979,1.6119402985074627
T000190,0.23655017747827958,0.8341767067308061,0.7032543579674145,0.5641950313131607,0.7022503874641916,0.7014305895316315,0.7531015715969317,0.8076556835427635,0.12935323383084577
T000191,0.7228132737478193,0.9508196721311475,1.0327868852459017,1.081263620345319,1.0349006429746783,1.042653697568571,0.979447993165994,0.9906294768865487,0.9508196721311475
