unique_id,MetaARIMA,AutoARIMA,AutoETS,AutoTheta,AR,MA,ARMA,ARIMA,SeasonalNaive
T000346,1.6867737302162498,2.846741155950034,2.64948652796198,2.6537212024803813,9.75595017983438,11.536515618209929,10.179278129207827,1.8470601469442798,1.8460809102402023
T000347,1.629863059798289,1.6143663632833805,1.6258235156114387,1.6469061909964258,1.9333733007676444,2.2344046214882467,1.6157722178818217,1.6246676534912843,1.03125
T000348,2.9450905633935673,2.841501627141023,2.938000079882155,2.9172849747176017,3.0616117893555543,5.136002481832239,2.8217975898075323,2.9598609208021984,3.440942562592047
T000349,6.795650603141685,6.120155303326218,4.9972114201399975,4.430842449213554,5.866354916365769,15.45563323737512,8.699437108665114,3.077838420763819,3.156309410646388
T000350,5.042654391848217,5.0421226921079825,7.195027927257199,4.829137177547322,12.48044364023491,12.884658014265808,12.539434281665391,4.617170182669596,2.8290977817306686
T000351,1.1967202517216429,1.5940613547998637,3.4024349081077547,1.8414132073654326,13.860971549468427,13.057450963411927,12.683627210556274,1.5920044768001425,1.1624025457731184
T000352,2.045890776141763,1.8292618894951413,1.241944518101243,1.2591414903400937,5.3800006777491705,5.723860870325184,5.635492640926616,1.8287351440055897,2.251068164734739
T000353,1.1077389148482395,0.9341119642177949,0.9693081290056836,1.1217569572662307,2.916427978636426,4.375950458385074,2.2988274381919758,2.0059470178497305,1.0663154172560114
T000354,3.2108843470507473,4.2198314856774335,4.557936322343814,3.262332042973531,14.311043181327399,14.341073821683535,13.930381798627524,3.2374680413360695,2.020618132771893
T000355,0.8211738710847192,0.8233746176091093,0.8001912225410579,0.7968697953170787,7.243127164597554,6.22615715275231,6.140404830733289,0.8630440241469913,0.6713391613106208
T000356,1.6811510473871254,1.6236531682432453,1.5225188133542173,1.6019412804281645,7.62843604214392,7.276990618227982,7.133472660153275,1.6022675912314441,1.4937284130158155
T000357,1.8160228786660502,2.247470721446054,1.8924330670352645,1.9398394751194532,3.2929715037661986,3.4275586031672876,2.172335441181799,2.2295588922439857,1.7919767441860464
T000358,2.2944113055743474,2.2944113055743474,2.0394512174973394,2.618799552672537,5.321779223962405,5.663593768139586,3.887269713849474,3.6354829411888145,2.2293261868300154
T000359,0.6566340778738444,0.6167794314133326,0.9018821620645054,1.1071370636394804,7.372061192286969,6.460644631735621,6.344613553427308,1.4389645442572732,0.5721010241092382
T000360,1.2710553725664506,1.8284929410102073,1.0100212477026063,3.1805455372102203,12.69437397307967,11.902034394056786,11.671079396760627,1.2547413585546354,1.2106398344784508
T000361,0.9286502521182352,0.9336596062226081,2.4106982957719705,1.714340151807561,6.497999718646571,6.091574960736726,6.127158663555728,3.065860593152198,0.9572966757265314
T000362,1.3571386231069216,1.7502772975846335,1.0547115235390745,1.1216557724350045,1.9538980481887607,1.9429956239821191,1.9326183569705884,1.2221397447397382,1.436780252973381
T000363,1.3394099360565146,1.360111462231616,1.2193781863009039,1.2772922323424165,2.9607144277981052,2.9731858816780656,2.947198563230666,0.809352925949268,1.6715110066253474
T000364,0.5149888226752748,0.7775901427052626,2.0726271234932128,2.16926050510203,13.830043847698931,12.838149163613734,12.676526484656295,7.127066034126656,0.7742095179830634
T000365,0.7914475286676359,0.8119465304921064,0.7334268850072337,1.555656300529819,6.948473093515421,6.518208345462898,6.516752743272775,0.8645237154105728,0.9520130975459833
